S.no,Name,Instagram user,number of vistors per year(million)
1,British Library ,britishlibrary,1.6
2,Library of Congress ,librarycongress,1.9
3,New York Public Library ,nypl,16
4,Library and Archives Canada ,libraryarchives,2.8
5,Russian State Library ,leninka_official,0.8
6,Royal Library Denmark ,detkglbibliotek,1.4
7,Bibliotheque nationale de Fr,labnf,1.3
8,University of Illinois Library ,uillinoislibrary,2.1
9,Bavarian State Library ,bsbmuenchen,1.3
10,Biblioteca Nacional de Espana,bne_biblioteca,0.65
11,Berlin State Library ,staatsbibliothek_zu_berlin,1.4
12,Boston Public Library ,bplboston,4
13,New York State Library ,nyslibrary,3.5
14,Harvard Library ,harvard.library,2.5
15,University of Michigan Library ,umichlibrary,3.9
16,Yale Library ,yalelibrary,1.5
17,National Library of Iran ,iranlibraries,0.6
18,"Bodleian Library  Oxford, United",bodleianlibraries,1.05
19,Vatican Library  ,bibliotecaapostolicavaticana,0.02
20,thomas j watson library ,metlibrary,0.4
21,state library nsw,statelibrarynsw,1.6
22,Library of Parliament Ottawa,library.parl.biblio,0.35
23,Thomas Fisher Rare Book Library,fisherlibrary,0.013
24,Seattle Public Library,seattlepubliclibrary,3.7
25,Abbey Library of Saint Gall ,stiftsbezirk_stiftsbibliothek,1
26,Austrian National Library,nationalbibliothek,1.23
27,The Morgan Library & Museum,themorganlibrary,0.27
28,Trinity College Library ,tcdlibrary,0.52
29,Salt Lake City Public Library,slcpl,0.93
30,State Library of Victoria,library_vic,1.8
31,Chateau de Chantilly Library,chateauchantilly,0.25
32,George Peabody Library ,jhulibraries,0.32
33,Phillips Exeter Academy Library ,pea_lib,0.36
34,The Library of Alexandria ,bibalexofficial,0.8
35,Stockholm Public Library ,stadsbibblanstockholm,1.2
36,The National Library of Singapore ,nlbsingapore,11.5
37,University of Coimbra General Library,bibliotecageraluc,0.45
38,National Library  Minsk,nlb_by,0.9
39,Central National Library of Rome ,bibliotecanazionaleroma,0.22
40,Folger Shakespeare Library,folgerlibrary,0.082
41,Library Company of Philadelphia,librarycompany,0.37
42,National Library of Ireland,nationallibraryofireland,0.2
43,National Library of Medicine,nlm_collections,3.8
44,National Library Singapore,nationallibrarysg,1.4
45,korea Univ library,kulib1905,1.9
46,University of seoul lib,uoslibrary,0.11
47,Alexandria Library virginia,alexlibraryva,7
48,Zentral- und Landesbibliothek Berlin (ZLB),zlb_berlin,1.7
49,Barrow Library & Archives,barrow.library,0.62
50,ANU Library,anu_library,1.36
51,"Beit Ariela, Tel Aviv, Israel",tlv_publiclibrary,0.15
52,Biblioteca de Catalunya,bibliotecadecatalunya,1.15
53,Biblioteca Nacional Brasilia,bibliotecanacionaldebrasilia,0.15
54,Brooklyn Public Library,bklynlibrary,0.81
55,Biblioteca Nacional de Chile,bnchile,8.7
56,Biblioteca Nazionale Firenze,bibliotecanazionale,0.31
57,Calgary Public Library,calgarylibrary,1.6
58,Halifax Public Libraries,hfxpublib,2.8
59,honk kong public lib,readingisjoyful,33.6
60,Universitaire Bibliotheken Leiden,ub.leiden,1.82
61,Cambridge University Library,cambridgeuniversitylibrary,0.11
62,National Library Singapore,nationallibrarysg,1.4
63,Public Libraries Singapore,publiclibrarysg,22.9
64,San Diego Public Library,sdpubliclibrary,6.6
65,Baldwin Public Library,baldwinlib,2.3
66,hong kong central library,hong_kong_central_library,2.67
67,Toronto Public Library,torontolibrary,4
68,Western Libraries,westernulibs,3
69,University Of Glasgow Library,uofglibrary,2.47
70,National Library of Scotland,natlibscot,0.9
71,UCLA Library,uclalibrary,9
