,Name,Instagram user,Followers,Following,Mediacount,Hashtagged,number of vistors per year(million)
0,British Library ,britishlibrary,379586,189,1995,70947,1.6
1,Library of Congress ,librarycongress,155115,27,2013,914,1.9
2,New York Public Library ,nypl,506012,478,4361,172956,16
3,Library and Archives Canada ,libraryarchives,13237,395,270,1569,2.8
4,Russian State Library ,leninka_official,14046,384,1516,1081,0.8
5,Royal Library Denmark ,detkglbibliotek,1709,48,138,1518,1.4
6,Bibliotheque nationale de Fr,labnf,116714,414,1584,1556,1.3
7,University of Illinois Library ,uillinoislibrary,3327,154,796,26,2.1
8,Bavarian State Library ,bsbmuenchen,4366,296,916,1421,1.3
9,Biblioteca Nacional de Espana,bne_biblioteca,62393,92,854,200,0.65
10,Berlin State Library ,staatsbibliothek_zu_berlin,4638,227,752,819,1.4
11,Boston Public Library ,bplboston,47063,249,2011,2543,4
12,New York State Library ,nyslibrary,1969,232,1129,160,3.5
13,Harvard Library ,harvard.library,11635,657,499,5616,2.5
14,University of Michigan Library ,umichlibrary,354,47,7,257,3.9
15,Yale Library ,yalelibrary,22941,1760,923,3677,1.5
16,National Library of Iran ,iranlibraries,1949,97,6,9,0.6
17,"Bodleian Library  Oxford, United",bodleianlibraries,9402,132,204,3788,1.05
18,Vatican Library  ,bibliotecaapostolicavaticana,6852,31,197,667,0.02
19,thomas j watson library ,metlibrary,58005,549,2028,3362,0.4
20,state library nsw,statelibrarynsw,24857,301,1532,7571,1.6
21,Library of Parliament Ottawa,library.parl.biblio,2184,16,179,941,0.35
22,Thomas Fisher Rare Book Library,fisherlibrary,27673,424,2081,2850,0.013
23,Seattle Public Library,seattlepubliclibrary,39244,333,2065,26205,3.7
24,Abbey Library of Saint Gall ,stiftsbezirk_stiftsbibliothek,3423,200,360,271,1
25,Austrian National Library,nationalbibliothek,11641,62,1427,15358,1.23
26,The Morgan Library & Museum,themorganlibrary,138534,454,3676,6750,0.27
27,Trinity College Library ,tcdlibrary,3709,688,562,250,0.52
28,Salt Lake City Public Library,slcpl,10468,791,933,2169,0.93
29,State Library of Victoria,library_vic,57713,497,2950,830,1.8
30,Chateau de Chantilly Library,chateauchantilly,54221,1018,1311,8817,0.25
31,George Peabody Library ,jhulibraries,2460,281,1214,174,0.32
32,Phillips Exeter Academy Library ,pea_lib,1029,385,391,129,0.36
33,The Library of Alexandria ,bibalexofficial,7779,0,1211,6516,0.8
34,Stockholm Public Library ,stadsbibblanstockholm,7839,398,2930,3350,1.2
35,The National Library of Singapore ,nlbsingapore,6204,5,605,1550,11.5
36,University of Coimbra General Library,bibliotecageraluc,1566,42,323,14,0.45
37,National Library  Minsk,nlb_by,1428,143,575,262,0.9
38,Central National Library of Rome ,bibliotecanazionaleroma,4651,857,670,168,0.22
39,Folger Shakespeare Library,folgerlibrary,32392,545,2094,1458,0.082
40,Library Company of Philadelphia,librarycompany,9776,334,2103,151,0.37
41,National Library of Ireland,nationallibraryofireland,24100,245,1971,3508,0.2
42,National Library of Medicine,nlm_collections,12503,204,485,1,3.8
43,National Library Singapore,nationallibrarysg,14555,141,1510,3951,1.4
44,korea Univ library,kulib1905,3313,30,125,0,1.9
45,University of seoul lib,uoslibrary,1420,103,195,65,0.11
46,Alexandria Library virginia,alexlibraryva,1681,441,1589,488,7
47,Zentral- und Landesbibliothek Berlin (ZLB),zlb_berlin,2562,926,303,64,1.7
48,ANU Library,anu_library,1391,209,159,1,1.36
49,"Beit Ariela, Tel Aviv, Israel",tlv_publiclibrary,3611,67,399,19,0.15
50,Biblioteca de Catalunya,bibliotecadecatalunya,3498,218,635,2860,1.15
51,Biblioteca Nacional Brasilia,bibliotecanacionaldebrasilia,21883,177,1449,1976,0.15
52,Brooklyn Public Library,bklynlibrary,50019,1097,1926,1513,0.81
53,Biblioteca Nacional de Chile,bnchile,68493,103,1796,269,8.7
54,Biblioteca Nazionale Firenze,bibliotecanazionale,2559,128,218,4958,0.31
55,Calgary Public Library,calgarylibrary,30548,395,1863,11245,1.6
56,Halifax Public Libraries,hfxpublib,12338,321,1355,436,2.8
57,honk kong public lib,readingisjoyful,9707,0,712,301,33.6
58,Universitaire Bibliotheken Leiden,ub.leiden,1732,256,450,0,1.82
59,Cambridge University Library,cambridgeuniversitylibrary,24919,60,1183,3069,0.11
60,Public Libraries Singapore,publiclibrarysg,31597,80,4156,6579,22.9
61,San Diego Public Library,sdpubliclibrary,12216,795,1553,3479,6.6
62,Baldwin Public Library,baldwinlib,2164,1326,2172,9,2.3
63,hong kong central library,hong_kong_central_library,1753,29,1268,2,2.67
64,Toronto Public Library,torontolibrary,37675,1341,1857,7601,4
65,Western Libraries,westernulibs,3026,556,567,22,3
66,University Of Glasgow Library,uofglibrary,18416,702,1831,3734,2.47
67,National Library of Scotland,natlibscot,12905,624,1234,1065,0.9
68,UCLA Library,uclalibrary,10035,465,1704,595,9
