,S.no,Name,Instagram user,Followers,Following,Mediacount
0,1,British Library ,britishlibrary,379586,189,1995
1,2,Library of Congress ,librarycongress,155115,27,2013
2,3,New York Public Library ,nypl,506012,478,4361
3,4,Library and Archives Canada ,libraryarchives,13237,395,270
4,5,Russian State Library ,leninka_official,14046,384,1516
5,6,Royal Library Denmark ,detkglbibliotek,1709,48,138
6,7,Bibliotheque nationale de Fr,labnf,116714,414,1584
7,8,University of Illinois Library ,uillinoislibrary,3327,154,796
8,9,Bavarian State Library ,bsbmuenchen,4366,296,916
9,10,Biblioteca Nacional de Espana,bne_biblioteca,62393,92,854
10,11,Berlin State Library ,staatsbibliothek_zu_berlin,4638,227,752
11,12,Boston Public Library ,bplboston,47063,249,2011
12,13,New York State Library ,nyslibrary,1969,232,1129
13,14,Harvard Library ,harvard.library,11635,657,499
14,15,University of Michigan Library ,umichlibrary,354,47,7
15,16,Yale Library ,yalelibrary,22941,1760,923
16,17,National Library of Iran ,iranlibraries,1949,97,6
17,18,"Bodleian Library  Oxford, United",bodleianlibraries,9402,132,204
18,19,Vatican Library  ,bibliotecaapostolicavaticana,6852,31,197
19,20,thomas j watson library ,metlibrary,58005,549,2028
20,21,state library nsw,statelibrarynsw,24857,301,1532
21,22,Library of Parliament Ottawa,library.parl.biblio,0,0,0
22,23,Thomas Fisher Rare Book Library,fisherlibrary,0,0,0
23,24,Seattle Public Library,seattlepubliclibrary,0,0,0
24,25,Abbey Library of Saint Gall ,stiftsbezirk_stiftsbibliothek,0,0,0
25,26,Austrian National Library,nationalbibliothek,0,0,0
26,27,The Morgan Library & Museum,themorganlibrary,0,0,0
27,28,Trinity College Library ,tcdlibrary,0,0,0
28,29,Salt Lake City Public Library,slcpl,0,0,0
29,30,State Library of Victoria,library_vic,0,0,0
30,31,Chateau de Chantilly Library,chateauchantilly,0,0,0
31,32,George Peabody Library ,jhulibraries,0,0,0
32,33,Phillips Exeter Academy Library ,pea_lib,0,0,0
33,34,The Library of Alexandria ,bibalexofficial,0,0,0
34,35,Stockholm Public Library ,stadsbibblanstockholm,0,0,0
35,36,The National Library of Singapore ,nlbsingapore,0,0,0
36,37,University of Coimbra General Library,bibliotecageraluc,0,0,0
37,38,National Library  Minsk,nlb_by,0,0,0
38,39,Central National Library of Rome ,bibliotecanazionaleroma,0,0,0
39,40,Folger Shakespeare Library,folgerlibrary,0,0,0
40,41,Library Company of Philadelphia,librarycompany,0,0,0
41,42,National Library of Ireland,nationallibraryofireland,0,0,0
42,43,National Library of Medicine,nlm_collections,0,0,0
43,44,National Library Singapore,nationallibrarysg,0,0,0
44,45,korea Univ library,kulib1905,0,0,0
45,46,University of seoul lib,uoslibrary,0,0,0
46,47,Alexandria Library virginia,alexlibraryva,0,0,0
47,48,Zentral- und Landesbibliothek Berlin (ZLB),zlb_berlin,0,0,0
48,49,Barrow Library & Archives,barrow.library,0,0,0
49,50,ANU Library,anu_library,0,0,0
50,51,"Beit Ariela, Tel Aviv, Israel",tlv_publiclibrary,0,0,0
51,52,Biblioteca de Catalunya,bibliotecadecatalunya,0,0,0
52,53,Biblioteca Nacional Brasilia,bibliotecanacionaldebrasilia,0,0,0
53,54,Brooklyn Public Library,bklynlibrary,0,0,0
54,55,Biblioteca Nacional de Chile,bnchile,0,0,0
55,56,Biblioteca Nazionale Firenze,bibliotecanazionale,0,0,0
56,57,Calgary Public Library,calgarylibrary,0,0,0
57,58,Halifax Public Libraries,hfxpublib,0,0,0
58,59,honk kong public lib,readingisjoyful,0,0,0
59,60,Universitaire Bibliotheken Leiden,ub.leiden,0,0,0
60,61,Cambridge University Library,cambridgeuniversitylibrary,0,0,0
61,62,Public Libraries Singapore,publiclibrarysg,0,0,0
62,63,San Diego Public Library,sdpubliclibrary,0,0,0
63,64,Baldwin Public Library,baldwinlib,0,0,0
64,65,hong kong central library,hong_kong_central_library,0,0,0
65,66,Toronto Public Library,torontolibrary,0,0,0
66,67,Western Libraries,westernulibs,0,0,0
67,68,University Of Glasgow Library,uofglibrary,0,0,0
68,69,National Library of Scotland,natlibscot,0,0,0
69,70,UCLA Library,uclalibrary,0,0,0
